aromatic,ratio,g/L/hr
VA,1:4,0.004844737
VA,2:3,0.010371831
VA,1:1,0.014161538
VA,3:2,0.017259375
VA,4:1,0.016623536
VA,9:1,0.007543075
p-HBA,1:4,0.004844737
p-HBA,2:3,0.009951351
p-HBA,1:1,0.01394697
p-HBA,3:2,0.017259375
p-HBA,4:1,0.015668085
p-HBA,9:1,0.007605605
SA,1:4,0.003297129
SA,2:3,0.008719111
SA,1:1,0.012029333
SA,3:2,0.015007443
SA,4:1,0.014620569
SA,9:1,0.009798104
