,exC14818,exC00014,exC00009,exC00059,exC00031,expHBA,exSA,exS,exVA,exPCA,exV,exFA,exGDK,exSDK,exSSGGE,exSRGGE,exRSGGE,exRRGGE,C00282,exC00001,exC00007,C00067,C00058,C00033,C00010,C00162,C00132,C00054,C00011,C05198,C04425,C00266,C00153,Time,Biomass
0,45.54,10.0,26.1,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
1,45.53999999257742,9.998541558140293,26.099685135707688,7.999949019117831,0.0,0.9987727891156463,0.9997609480602543,0.0,0.9999582651430681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.00202929089996,9.994917045582653,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020787867451840998,5.201262026789083e-05,0.005402372475293647,2.226772875186381e-08,7.422576251084417e-09,6.155789903211732e-06,7.422576251084417e-09,30.0,0.0011337497136979218
2,45.53999998416208,9.996888050103124,26.099328158407257,7.999891219557402,0.0,0.9987727891156463,0.9997609480602543,0.0,0.9985571835132303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.00500557246161,9.989830952096519,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020788708986208945,0.00011098191346374631,0.010732769105474504,4.751375979031353e-08,1.5837919930567654e-08,1.3134914927035033e-05,1.5837919930567654e-08,60.0,0.001285388412948207
3,45.53999997462119,9.995013385845189,26.098923435496296,7.999825689322509,0.0,0.9987727891156463,0.9997609480602543,0.0,0.9969687076210446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.00837993081977,9.98406459507988,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020789663075554732,0.0001778383325424274,0.016776104740564717,7.613644016395949e-08,2.5378813388449642e-08,2.1047495902305026e-05,2.5378813388449642e-08,90.0,0.0014573087442789439
4,45.539999963804206,9.992887985787492,26.098464581013634,7.999751394437744,0.0,0.9987727891156463,0.9997609480602543,0.0,0.9951677735400262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01220560862785,9.977526989488231,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020790744774073296,0.0002536367782415645,0.02362773476116995,1.0858739572088212e-07,3.619579857409052e-08,3.0018382283907956e-05,3.619579857409052e-08,120.0,0.00165222336997144
5,45.53999995154045,9.990478314090996,26.097944354877573,7.999667162633777,0.0,0.9987727891156463,0.9997609480602543,0.0,0.9931259650499897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01654296972872,9.970114981052673,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020791971149453697,0.0003395732439925812,0.031395768300917476,1.453786571340797e-07,4.8459552378092626e-08,4.018912210548222e-05,4.8459552378092626e-08,150.0,0.0018732077700855435
6,45.53999993763642,9.987746349509797,26.09735454864794,7.999571664850659,0.0,0.9987727891156463,0.9997609480602543,0.0,0.9908110652717617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.02146045160913,9.961711618655988,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020793361552182718,0.0004370036869131481,0.04020277405529566,1.8709073900790334e-07,6.236357966831777e-08,5.1720195404297946e-05,6.236357966831777e-08,180.0,0.002123748769114555
7,45.539999921872734,9.984648985467553,26.096685856008143,7.999463394267077,0.0,0.9987727891156463,0.9997609480602543,0.0,0.9881865483274356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.02703564524742,9.952184309005975,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020794937920868745,0.0005474654229785226,0.05018771424460915,2.3438179958869197e-07,7.812726652858063e-08,6.479354637259634e-05,7.812726652858063e-08,210.0,0.0024077995532443674
8,45.53999990400066,9.981137349897171,26.095927725924778,7.999340642524843,0.0,0.9987727891156463,0.9997609480602543,0.0,0.9852110030150383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.03335651939277,9.941382724497705,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020796725128401794,0.0006727013836842074,0.061508137243676236,2.8799802558639055e-07,9.599934185906764e-08,7.961545418215901e-05,9.599934185906764e-08,240.0,0.0027298420460097465
9,45.5399998837382,9.977156034109811,26.09506819616725,7.999201472773448,0.0,0.9987727891156463,0.9997609480602543,0.0,0.981837479398825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.04052280858204,9.929136431259545,0.0002807867966800931,0.0,0.0,1.0,1.0,0.00020798751374413098,0.0008146876170386432,0.07434266346312793,3.487854059254958e-07,1.1626180197210271e-07,9.641978776901238e-05,1.1626180197210271e-07,270.0,0.003094957626807999
