,exC14818,exC00014,exC00009,exC00059,exC00031,expHBA,exSA,exS,exVA,exPCA,exV,exFA,exGDK,exSDK,exSSGGE,exSRGGE,exRSGGE,exRRGGE,C00282,exC00001,exC00007,C00067,C00058,C00033,C00010,C00162,C00132,C00054,C00011,C05198,C04425,C00266,C00153,Time,Biomass
0,45.54,10.0,26.1,8.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
1,45.53999999257742,9.998541558140293,26.099685135707688,7.999949019117831,0.9991700522921642,1.0,0.9996793292545544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.00298837165187,9.998333215199564,0.0,0.0006353152521673317,0.0,1.0,1.0,0.0003206781679640113,5.201262026789083e-05,0.001724944978313797,2.226772875186381e-08,7.422576251084417e-09,6.155789903211732e-06,7.422576251084417e-09,30.0,0.0011337497136979218
2,45.53999998416208,9.996888050103124,26.099328158407257,7.999891219557402,0.9980554002674813,1.0,0.9995535843181063,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.00742547365155,9.99682477558131,0.0,0.0006353152521673317,0.0,1.0,1.0,0.0004464315197562394,0.00011098191346374631,0.0035405602089525257,4.751375979031353e-08,1.5837919930567654e-08,1.3134914927035033e-05,1.5837919930567654e-08,60.0,0.001285388412948207
3,45.53999997462119,9.995013385845189,26.098923435496296,7.999825689322509,0.9970561513511512,1.0,0.9991413978596732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0116779813155,9.994679333764132,0.0,0.0006353152521673317,0.0,1.0,1.0,0.0008586275190700723,0.0001778383325424274,0.0061690738741099595,7.613644016395949e-08,2.5378813388449642e-08,2.1047495902305026e-05,2.5378813388449642e-08,90.0,0.0014573087442789439
4,45.539999963804206,9.992887985787492,26.098464581013634,7.999751394437744,0.995465773849201,1.0,0.9991413978596732,0.0,0.99995456011141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01751256935262,9.99294658109258,0.0,0.0010517424933149566,4.7475386356779484e-05,1.0,1.0,0.000858638336055258,0.0002536367782415645,0.00800763735350607,1.0858739572088212e-07,3.619579857409052e-08,3.0018382283907956e-05,3.619579857409052e-08,120.0,0.00165222336997144
5,45.53999995154045,9.990478314090996,26.097944354877573,7.999667162633777,0.9952309899424319,1.0,0.9991413978596732,0.0,0.998205744313339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01889252705656,9.988066878785407,0.0,0.00424587856335769,4.7475386356779484e-05,1.0,1.0,0.000858650599809062,0.0003395732439925812,0.011646296729596476,1.453786571340797e-07,4.8459552378092626e-08,4.018912210548222e-05,4.8459552378092626e-08,150.0,0.0018732077700855435
6,45.53999993763642,9.987746349509797,26.09735454864794,7.999571664850659,0.9937483820444234,1.0,0.9991413978596732,0.0,0.9976050613907057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.02584878890157,9.984481603846675,0.0,0.00424587856335769,4.7475386356779484e-05,1.0,1.0,0.0008586645038363522,0.0004370036869131481,0.015635215026956896,1.8709073900790334e-07,6.236357966831777e-08,5.1720195404297946e-05,6.236357966831777e-08,180.0,0.002123748769114555
7,45.539999921872734,9.984648985467553,26.096685856008143,7.999463394267077,0.9921717642088893,1.0,0.9991413978596732,0.0,0.9966881383867755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.03119947292095,9.980582259140474,0.0,0.007099719433945649,4.7475386356779484e-05,1.0,1.0,0.0008586802675232125,0.0005474654229785226,0.018565269836370947,2.3438179958869197e-07,7.812726652858063e-08,6.479354637259634e-05,7.812726652858063e-08,210.0,0.0024077995532443674
8,45.53999990400066,9.981137349897171,26.095927725924778,7.999340642524843,0.9918296115748196,1.0,0.9991413978596732,0.0,0.9941208297294197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.03300966714616,9.973458976619494,0.0,0.012030368537241171,4.7475386356779484e-05,1.0,1.0,0.000858698139598543,0.0006727013836842074,0.02374206629498904,2.8799802558639055e-07,9.599934185906764e-08,7.961545418215901e-05,9.599934185906764e-08,240.0,0.0027298420460097465
9,45.5399998837382,9.977156034109811,26.09506819616725,7.999201472773448,0.9894028484950157,1.0,0.9991413978596732,0.0,0.9931534568153458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.04090161643913,9.9680064683036,0.0,0.016240684103649775,4.7475386356779484e-05,1.0,1.0,0.000858718402058656,0.0008146876170386432,0.02767764980994981,3.487854059254958e-07,1.1626180197210271e-07,9.641978776901238e-05,1.1626180197210271e-07,270.0,0.003094957626807999
10,45.53999986076564,9.972642218521564,26.09409370456085,7.999043689109255,0.9871052295952606,1.0,0.9991413978596732,0.0,0.9918172169379095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.04869921484962,9.962323919311029,0.0,0.020399611254168004,4.7475386356779484e-05,1.0,1.0,0.0008587413746167757,0.0009756644668024146,0.03194764419612072,4.177030802784559e-07,1.3923436009193587e-07,0.00011547169596731895,1.3923436009193587e-07,300.0,0.0035089073078217385
11,45.53999983472051,9.967524681451884,26.092988874994045,7.9988648019272715,0.9845003048563562,1.0,0.9991413978596732,0.0,0.9903022553773477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.05753973971115,9.955881331094043,0.0,0.025114793664039552,4.7475386356779484e-05,1.0,1.0,0.0008587674197476562,0.0011581719219768613,0.03678874905160577,4.958384729227172e-07,1.6527949097235087e-07,0.000137071791179337,1.6527949097235087e-07,330.0,0.003978222634555025
12,45.539999805191854,9.961722675342488,26.091736274806074,7.998661988638685,0.9811057356034201,1.0,0.9977316369021828,0.0,0.9903022553773477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.06734322063504,9.94921002706183,0.0,0.030686445489302765,4.7475386356779484e-05,1.0,1.0,0.0022685579059319692,0.0013650896941862047,0.042236344689505725,5.84424450757605e-07,1.948081502506468e-07,0.00016156089260694478,1.948081502506468e-07,360.0,0.004510308744654408
13,45.539999771713745,9.955144652680286,26.09031613972386,7.9984320491344265,0.9760003545922096,1.0,0.9976072294421787,0.0,0.9903022553773477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.08423952087155,9.94396753967462,0.0,0.03407929198185578,0.0001944096852624188,1.0,1.0,0.0023767717840497103,0.001599682655522386,0.046808391263354406,6.848587761842908e-07,2.2828625872062675e-07,0.00018932540390011827,2.2828625872062675e-07,390.0,0.005113561210043849
14,45.53999973375795,9.947686821507379,26.088706062010434,7.998171355292048,0.9711409703951851,1.0,0.9965538280630132,0.0,0.9903022553773477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.10086764578796,9.936442901462279,0.0,0.03791438315776339,0.0001944096852624188,1.0,1.0,0.0034302111189267893,0.001865652353443196,0.0540440670985787,7.987261618032145e-07,2.6624205391903135e-07,0.00022080341005187645,2.6624205391903135e-07,420.0,0.0057974985074507835
15,45.53999969072558,9.939231507726486,26.086880636902205,7.9978757937290865,0.9656316450686118,1.0,0.9953595345758942,0.0,0.9903022553773477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.1197197772578,9.92791184522086,0.0,0.042262416590262954,0.0001944096852624188,1.0,1.0,0.004624547638384711,0.0021671954159722734,0.06224751233300413,9.278232749478541e-07,3.0927442496959144e-07,0.0002564915897685073,3.0927442496959144e-07,450.0,0.006572912206557517
16,45.53999964193764,9.929645298377515,26.08481106175799,7.997540700899732,0.9646976225274155,1.0,0.9953595345758942,0.0,0.9832939090504293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.12466132100714,9.908466411281667,0.0,0.05572230830971232,0.0001944096852624188,1.0,1.0,0.004624596426321898,0.002509069768595607,0.07637934737541964,1.0741870865071855e-06,3.580623621560353e-07,0.0002969530523417981,3.580623621560353e-07,480.0,0.007452037244800906
17,45.53999958662433,9.918776936572081,26.082464681595535,7.997160789510861,0.9636386747677342,1.0,0.9953595345758942,0.0,0.9753482903021927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.13026477688196,9.886420215660317,0.0,0.07098110736011462,0.0001944096852624188,1.0,1.0,0.00462465173963019,0.002896669707333357,0.09240192638942243,1.2401270113831812e-06,4.1337567044803387e-07,0.0003428262226800893,4.1337567044803387e-07,510.0,0.008448744977733775
18,45.53999952391289,9.906454934875336,26.079804473841275,7.996730065096012,0.9559384404419855,1.0,0.9953595345758942,0.0,0.9726390253124652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.15591506651793,9.870072170126148,0.0,0.08278499755419276,0.0001944096852624188,1.0,1.0,0.004624714451075664,0.003336111013065107,0.10466858269316626,1.428261347805325e-06,4.7608711592208185e-07,0.0003948349147873123,4.7608711592208185e-07,540.0,0.009578762049166533
