,exC14818,exC00014,exC00009,exC00059,exVA,exSA,expHBA,C00282,exC00001,exC00007,C00067,C00058,C00033,C00010,C00162,C00132,C00054,C00011,C05198,C04425,C00266,C00153,Time,Biomass
0,45.54,10.0,26.1,8.0,1.0,1.0,1.0,10.0,100.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
1,45.53999999291467,9.998775118797969,26.099771307132617,7.999974509558915,0.9994083808437856,1.0,0.9993863945578231,10.0,99.99734687040284,9.998131538138043,0.0,0.0,0.0,1.0000002818779195,1.0,7.085326840787479e-09,2.549044108459328e-05,0.004393065601697992,2.1255980523385746e-08,7.085326840787479e-09,5.876097727620211e-06,7.085326840787479e-09,15.0,0.0011180887806797914
2,45.53999998499265,9.997405592869972,26.09951560820367,7.999946008982757,0.9986193304961346,1.0,0.9988601668182111,10.0,99.99420362233846,9.996244539977887,0.0,0.0,0.0,1.0000005970424584,1.0,1.500735128036795e-08,5.3991017242727935e-05,0.009206580475116575,4.502205384144216e-08,1.500735128036795e-08,1.2446096662807237e-05,1.500735128036795e-08,30.0,0.001250122521339466
3,45.53999997613512,9.995874341297347,26.099229714100407,7.999914142808359,0.9977365319675973,1.0,0.9982708861018909,10.0,99.99067160159278,9.994135069933808,0.0,0.0,0.0,1.0000009494243929,1.0,2.386487791230409e-08,8.585719164096875e-05,0.014599458652167238,7.159463373725057e-08,2.386487791230409e-08,1.9791938749548752e-05,2.386487791230409e-08,45.0,0.0013977479652050682
4,45.53999996623162,9.994162266096534,26.098910059111613,7.999878513596345,0.9969121380918775,1.0,0.9974118764835185,10.0,99.98698572368386,9.991520019199463,0.0,0.0,0.0,1.0000013434186796,1.0,3.376837904728771e-08,0.00012148640365556635,0.020728939436062944,1.0130513714220144e-07,3.376837904728771e-08,2.8005242357601355e-05,3.376837904728771e-08,60.0,0.0015628063174547952
5,45.53999995515863,9.992248014026721,26.098552656455723,7.999838676974209,0.9958069864255179,1.0,0.9966791464832424,10.0,99.98258886031118,9.988886040469348,0.0,0.0,0.0,1.0000017839392705,1.0,4.4841372533662e-08,0.00016132302579129185,0.02745545901766782,1.345241176013243e-07,4.4841372533662e-08,3.718844495504053e-05,4.4841372533662e-08,75.0,0.0017473562088943667
6,45.53999994277804,9.990107710269548,26.098153048557027,7.999794136094053,0.994570207683693,1.0,0.9958612812200586,10.0,99.97767109135606,9.985942790296537,0.0,0.0,0.0,1.0000022764803995,1.0,5.722196228696619e-08,0.0002058639059467529,0.03497553011074204,1.7166588686053696e-07,5.722196228696619e-08,4.7456080724783304e-05,5.722196228696619e-08,90.0,0.0019536993714494365
7,45.53999992893544,9.987714660658042,26.097706251450035,7.9997443354358095,0.9931859738452721,1.0,0.9949485802158919,10.0,99.97217047624916,9.982654196606006,0.0,0.0,0.0,1.0000028271851085,1.0,7.106456074854949e-08,0.0002556645641901443,0.04338266568399801,2.1319368224740372e-07,7.106456074854949e-08,5.8936209049305996e-05,7.106456074854949e-08,105.0,0.0021844093458091582
8,45.53999991345818,9.985039018744994,26.09720669261921,7.999688653878747,0.9916365150647167,1.0,0.9939274581972077,10.0,99.9659884118386,9.978979099356769,0.0,0.0,0.0,1.0000034429218627,1.0,8.654181473093511e-08,0.0003113461212529826,0.052801178189203414,2.596254441945606e-07,8.654181473093511e-08,7.17720116862256e-05,8.654181473093511e-08,120.0,0.002442363578848919
9,45.53999989615324,9.982047413552742,26.096648141497337,7.999626396954744,0.989901871528182,1.0,0.9927916621097053,10.0,99.95910568255128,9.974874563605995,0.0,0.0,0.0,1.0000041313702168,1.0,1.0384675869898491e-07,0.0003736030452561027,0.06330823696175085,3.1154027610107606e-07,1.0384675869898491e-07,8.612357855107005e-05,1.0384675869898491e-07,135.0,0.002730779311649749
10,45.53999987680478,9.978702533365288,26.096023631757305,7.999556788186803,0.9879596110273485,1.0,0.991525186763194,10.0,99.95140600832617,9.970289714295708,0.0,0.0,0.0,1.0000049011165943,1.0,1.2319522231591348e-07,0.0004432118131966786,0.07505414312981633,3.695856669497557e-07,1.2319522231591348e-07,0.000102169904376754,1.2319522231591348e-07,150.0,0.003053253705265225
11,45.53999985517148,9.974962660374263,26.095325374427123,7.999478959404729,0.9857845068497147,1.0,0.9901095262919658,10.0,99.94275098208414,9.965167634811763,0.0,0.0,0.0,1.0000057617613787,1.0,1.4482852229721565e-07,0.0005210405952708948,0.08821238529418458,4.3448556689335287e-07,1.4482852229721565e-07,0.00012011112116154407,1.4482852229721565e-07,165.0,0.003413808704953594
12,45.53999983098353,9.970781150366443,26.094544660744763,7.999391939917194,0.9833481695486844,1.0,0.9885365497115207,10.0,99.93311300767068,9.959449088434441,0.0,0.0,0.0,1.0000067240386503,1.0,1.6901647215338494e-07,0.000608060082805858,0.10289048754205776,5.070494164711139e-07,1.6901647215338494e-07,0.00014017099424356233,1.6901647215338494e-07,180.0,0.0038169412025564156
13,45.53999980393926,9.966105850971802,26.093671753541358,7.99929464440512,0.980618624907988,1.0,0.9867846551586583,10.0,99.92232862332911,9.953063944030818,0.0,0.0,0.0,1.0000077999500647,1.0,1.96060747336076e-07,0.0007053555948794606,0.11929810461456539,5.881822420191871e-07,1.96060747336076e-07,0.00016259971312816373,1.96060747336076e-07,195.0,0.004267679122267933
14,45.53999977370136,9.960878451211258,26.09269576579809,7.999185859385486,0.9775598288327252,1.0,0.9848289489157221,10.0,99.91020319296007,9.945933884895068,0.0,0.0,0.0,1.000009002914537,1.0,2.2629864777043845e-07,0.0008141406145134132,0.13767718821053965,6.788959433222744e-07,2.2629864777043845e-07,0.0001876770118888935,2.2629864777043845e-07,210.0,0.004771644129507307
15,45.53999973989271,9.955033754237189,26.091604524861598,7.999064228076566,0.9747746287350836,1.0,0.9818602953831075,10.0,99.89766409329191,9.936960572701715,0.0,0.0,0.0,1.0000103479356055,1.0,2.6010730471090324e-07,0.0009357719234335513,0.1586221940195195,7.803219141436688e-07,2.6010730471090324e-07,0.000215715658045639,2.6010730471090324e-07,225.0,0.00533512174518172
16,45.53999970209163,9.948498864187682,26.090384420625245,7.998928233476003,0.9709320987528979,1.0,0.9794455025146763,10.0,99.88254917882728,9.9280789220838,0.0,0.0,0.0,1.0000118517885577,1.0,2.9790838435441284e-07,0.0010717665239963039,0.18153702489963408,8.937251530818658e-07,2.9790838435441284e-07,0.0002470653534283734,2.9790838435441284e-07,240.0,0.005965139739240214
17,45.53999965982666,9.94119227702047,26.089020235782353,7.998776179440547,0.9666219810050987,1.0,0.9767627188883261,10.0,99.86562857412653,9.918170304156348,0.0,0.0,0.0,1.0000135332296525,1.0,3.4017334694189955e-07,0.0012238205594524987,0.20714828089118614,1.020520040844326e-06,3.4017334694189955e-07,0.0002821170957282709,3.4017334694189955e-07,255.0,0.006669555782364992
18,45.53999961257068,9.93302286398669,26.087494956033837,7.9986061695315795,0.9617854269872185,1.0,0.9737848069033543,10.0,99.84668358782757,9.907119185586344,0.0,0.0,0.0,1.0000154132300523,1.0,3.874293268331178e-07,0.0013938304684205643,0.23577186900016978,1.1622879804968364e-06,3.874293268331178e-07,0.0003213080550493145,3.874293268331178e-07,270.0,0.007457155447218629
19,45.539999559734305,9.92388873505543,26.085789557883448,7.998416083362405,0.9563556574922314,1.0,0.9704826427772977,10.0,99.82546822824115,9.894797940922793,0.0,0.0,0.0,1.000017515237378,1.0,4.402657070319204e-07,0.0015839166375952417,0.26776032291598023,1.3207971210743764e-06,4.402657070319204e-07,0.0003651270263609585,4.402657070319204e-07,285.0,0.008337761783865338
20,45.53999950065854,9.913675968136891,26.08388277137487,7.9982035501526365,0.9502567490387752,1.0,0.9668144257225948,10.0,99.80159396029337,9.88106226246175,0.0,0.0,0.0,1.0000198654681487,1.0,4.993414700104705e-07,0.001796449847363586,0.30358253851024,1.498024410025924e-06,4.993414700104705e-07,0.0004141205257875839,4.993414700104705e-07,300.0,0.009322357833507839
