,exC14818,exC00014,exC00009,exC00059,exC00031,expHBA,exSA,exS,exVA,exPCA,exV,exFA,exGDK,exSDK,exSSGGE,exSRGGE,exRSGGE,exRRGGE,C00282,exC00001,exC00007,C00067,C00058,C00033,C00010,C00162,C00132,C00054,C00011,C05198,C04425,C00266,C00153,Time,Biomass
0,45.54,10.0,26.1,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
1,45.53999999257742,9.998541558140293,26.099685135707688,7.999949019117831,0.0,1.0,1.0,0.0,0.9988615225399984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.00117562028404,9.996822593719779,0.0,0.0010602779770202053,0.0,1.0,1.0,7.422576251084417e-09,5.201262026789083e-05,0.002862749723099643,2.226772875186381e-08,7.422576251084417e-09,6.155789903211732e-06,7.422576251084417e-09,30.0,0.0011337497136979218
2,45.53999998416208,9.996888050103124,26.099328158407257,7.999891219557402,0.0,1.0,1.0,0.0,0.997668008559003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0033216312501,9.993397041424707,0.0,0.0010602779770202053,0.0,1.0,1.0,1.5837919930567654e-08,0.00011098191346374631,0.0065326051622210885,4.751375979031353e-08,1.5837919930567654e-08,1.3134914927035033e-05,1.5837919930567654e-08,60.0,0.001285388412948207
3,45.53999997462119,9.995013385845189,26.098923435496296,7.999825689322509,0.0,1.0,1.0,0.0,0.9963148624287975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.00575467056129,9.989513322502406,0.0,0.0010602779770202053,0.0,1.0,1.0,2.5378813388449642e-08,0.0001778383325424274,0.01069330270341691,7.613644016395949e-08,2.5378813388449642e-08,2.1047495902305026e-05,2.5378813388449642e-08,90.0,0.0014573087442789439
4,45.539999963804206,9.992887985787492,26.098464581013634,7.999751394437744,0.0,1.0,1.0,0.0,0.9947807333968268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0085131281735,9.985110157303003,0.0,0.0010602779770202053,0.0,1.0,1.0,3.619579857409052e-08,0.0002536367782415645,0.01541049233152448,1.0858739572088212e-07,3.619579857409052e-08,3.0018382283907956e-05,3.619579857409052e-08,120.0,0.00165222336997144
5,45.53999995154045,9.990478314090996,26.097944354877573,7.999667162633777,0.0,1.0,1.0,0.0,0.9930414150536966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01164052868856,9.98011807003989,0.0,0.0010602779770202053,0.0,1.0,1.0,4.8459552378092626e-08,0.0003395732439925812,0.02075860469803407,1.453786571340797e-07,4.8459552378092626e-08,4.018912210548222e-05,4.8459552378092626e-08,150.0,0.0018732077700855435
6,45.53999993763642,9.987746349509797,26.09735454864794,7.999571664850659,0.0,1.0,0.9993830200555299,0.0,0.9913216839903898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01164052868856,9.974002343384718,0.0,0.005608976119290126,0.0,1.0,1.0,0.0005365666630379105,0.0004370036869131481,0.025271877789935664,1.8709073900790334e-07,6.236357966831777e-08,5.1720195404297946e-05,6.236357966831777e-08,180.0,0.002123748769114555
7,45.539999921872734,9.984648985467553,26.096685856008143,7.999463394267077,0.0,1.0,0.9993830200555299,0.0,0.98872427896429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01246123580322,9.967014948506018,0.0,0.010255014969260524,0.0,1.0,1.0,0.0005365824267247708,0.0005474654229785226,0.030393883782550816,2.3438179958869197e-07,7.812726652858063e-08,6.479354637259634e-05,7.812726652858063e-08,210.0,0.0024077995532443674
8,45.53999990400066,9.981137349897171,26.095927725924778,7.999340642524843,0.0,1.0,0.9993830200555299,0.0,0.985760965453755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01319343017053,9.959081094696122,0.0,0.015794767539939664,0.0,1.0,1.0,0.0005366002988001013,0.0006727013836842074,0.03607669979547344,2.8799802558639055e-07,9.599934185906764e-08,7.961545418215901e-05,9.599934185906764e-08,240.0,0.0027298420460097465
9,45.5399998837382,9.977156034109811,26.09506819616725,7.999201472773448,0.0,1.0,0.9993830200555299,0.0,0.9824013096390576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01402355531756,9.950086090288831,0.0,0.022075460375222483,0.0,1.0,1.0,0.0005366205612602143,0.0008146876170386432,0.042519590767233155,3.487854059254958e-07,1.1626180197210271e-07,9.641978776901238e-05,1.1626180197210271e-07,270.0,0.003094957626807999
10,45.53999986076564,9.972642218521564,26.09409370456085,7.999043689109255,0.0,1.0,0.9993830200555299,0.0,0.9779713421074934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01457483237076,9.936357192749297,0.0,0.0320699061009964,0.0,1.0,1.0,0.0005366435338183341,0.0009756644668024146,0.05191817441144013,4.177030802784559e-07,1.3923436009193587e-07,0.00011547169596731895,1.3923436009193587e-07,300.0,0.0035089073078217385
11,45.53999983472051,9.967524681451884,26.092988874994045,7.9988648019272715,0.0,1.0,0.9993830200555299,0.0,0.9737161911551113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01596716597327,9.925012338028072,0.0,0.03956448890253641,0.0,1.0,1.0,0.0005366695789492146,0.0011581719219768613,0.06027184557564773,4.958384729227172e-07,1.6527949097235087e-07,0.000137071791179337,1.6527949097235087e-07,330.0,0.003978222634555025
12,45.539999805191854,9.961722675342488,26.091736274806074,7.998661988638685,0.0,1.0,0.9993830200555299,0.0,0.9688609455272711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01721390749377,9.912130203435245,0.0,0.04851716425183182,0.0,1.0,1.0,0.0005366991076084928,0.0013650896941862047,0.06953487953311016,5.84424450757605e-07,1.948081502506468e-07,0.00016156089260694478,1.948081502506468e-07,360.0,0.004510308744654408
13,45.539999771713745,9.955144652680286,26.09031613972386,7.9984320491344265,0.0,1.0,0.9993830200555299,0.0,0.9633567577626164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.01863217340552,9.897525373642475,0.0,0.05866070216051393,0.0,1.0,1.0,0.0005367325857169628,0.001599682655522386,0.08003983260384412,6.848587761842908e-07,2.2828625872062675e-07,0.00018932540390011827,2.2828625872062675e-07,390.0,0.005113561210043849
14,45.53999973375795,9.947686821507379,26.088706062010434,7.998171355292048,0.0,1.0,0.9993830200555299,0.0,0.955919957158049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0194255010407,9.874195891307401,0.0,0.07576128372220295,0.0,1.0,1.0,0.0005367705415121613,0.001865652353443196,0.09592090668094097,7.987261618032145e-07,2.6624205391903135e-07,0.00022080341005187645,2.6624205391903135e-07,420.0,0.0057974985074507835
15,45.53999969072558,9.939231507726486,26.086880636902205,7.9978757937290865,0.0,1.0,0.9993830200555299,0.0,0.9498107961029484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.03042347774517,9.856630683022113,0.0,0.07576128372220295,0.0,1.0,1.0,0.0005368135738832118,0.0021671954159722734,0.1147353739319486,9.278232749478541e-07,3.0927442496959144e-07,0.0002564915897685073,3.0927442496959144e-07,450.0,0.006572912206557517
16,45.53999964193764,9.929645298377515,26.08481106175799,7.997540700899732,0.0,1.0,0.9993830200555299,0.0,0.9417888464269597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.03248337306316,9.835346520831107,0.0,0.09055310201990764,0.0,1.0,1.0,0.0005368623618203982,0.002509069768595607,0.13003997393558378,1.0741870865071855e-06,3.580623621560353e-07,0.0002969530523417981,3.580623621560353e-07,480.0,0.007452037244800906
17,45.53999958662433,9.918776936572081,26.082464681595535,7.997160789510861,0.0,1.0,0.9993830200555299,0.0,0.9327519758675356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.03544033949794,9.811252902349215,0.0,0.10646971119229551,0.0,1.0,1.0,0.0005369176751286902,0.002896669707333357,0.1477810707518216,1.2401270113831812e-06,4.1337567044803387e-07,0.0003428262226800893,4.1337567044803387e-07,510.0,0.008448744977733775
18,45.53999952391289,9.906454934875336,26.079804473841275,7.996730065096012,0.0,1.0,0.9993830200555299,0.0,0.9224406553101347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.03808810491648,9.783894488491283,0.0,0.12548294192419707,0.0,1.0,1.0,0.0005369803865741642,0.003336111013065107,0.16745342510886138,1.428261347805325e-06,4.7608711592208185e-07,0.0003948349147873123,4.7608711592208185e-07,540.0,0.009578762049166533
